EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
45,Nord,23,275,169,5859,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:19:52
46,Sued,23,391,113,5913,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:19:55
47,Nord,24,297,172,5943,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:19:57
48,Sued,24,391,114,5997,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:19:59
49,Sued,25,488,110,6102,Person,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:05
50,Nord,25,465,172,6201,Person,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:10
51,Nord,26,300,172,6492,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:24
52,Sued,26,383,111,6522,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:26
53,Nord,27,312,170,6561,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:28
54,Sued,27,391,113,6594,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:29
55,Nord,28,305,168,6576,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:28
56,Sued,28,386,111,6609,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:30
57,Nord,29,308,170,6696,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:34
58,Sued,29,383,113,6738,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:36
59,Nord,30,305,170,6786,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:39
60,Sued,30,385,112,6834,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:41
61,Nord,31,299,167,6852,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:42
62,Sued,31,384,111,6894,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:44
63,Nord,32,302,167,7020,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:51
64,Sued,32,385,113,7086,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:20:54
