EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
296,Querschnitt_Straße,149,722,378,13810,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:30
297,Haltelinie,150,285,288,13771,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:28
298,Querschnitt_Straße,150,637,438,13815,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:30
299,Haltelinie,151,373,258,13822,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:31
300,Querschnitt_Straße,151,726,375,13857,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:32
301,Haltelinie,152,375,256,13865,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:33
302,Querschnitt_Straße,152,718,382,13896,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:34
303,Haltelinie,153,272,293,13869,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:33
304,Querschnitt_Straße,153,610,455,13898,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:34
305,Haltelinie,154,277,290,13913,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:35
306,Querschnitt_Straße,154,623,445,13938,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:36
307,Haltelinie,155,272,291,13955,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:37
308,Querschnitt_Straße,155,624,450,13979,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:38
309,Haltelinie,156,277,291,13982,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:39
310,Querschnitt_Straße,156,633,442,14006,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:40
311,Haltelinie,157,299,283,14019,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:40
312,Querschnitt_Straße,157,649,431,14041,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:42
