;Class;gt;eval;t_start;t_end
0;car;60.0;64.0;18:45:00;18:50:00
1;person;19.0;17.0;18:45:00;18:50:00
2;motorcycle;4.0;3.0;18:45:00;18:50:00
3;bicycle;3.0;0.0;18:45:00;18:50:00
4;bus;2.0;2.0;18:45:00;18:50:00
5;car;60.0;63.0;18:50:00;18:55:00
6;person;32.0;30.0;18:50:00;18:55:00
7;bus;2.0;1.0;18:50:00;18:55:00
8;bicycle;1.0;0.0;18:50:00;18:55:00
9;truck;0.0;1.0;18:50:00;18:55:00
10;car;55.0;59.0;18:55:00;19:00:00
11;person;17.0;11.0;18:55:00;19:00:00
12;bus;4.0;3.0;18:55:00;19:00:00
13;bicycle;2.0;0.0;18:55:00;19:00:00
14;motorcycle;0.0;1.0;18:55:00;19:00:00
