Class;gt;eval;rp;fp;fn;S;G;t_int
person;66;78;48;30;18;0,727272727272727;0,615384615384615;2023-04-12T00:00:10Z
person;66;78;50;28;16;0,757575757575758;0,641025641025641;2023-04-12T00:00:20Z
person;66;78;56;22;10;0,848484848484849;0,717948717948718;2023-04-12T00:00:30Z
person;66;78;57;21;9;0,863636363636364;0,730769230769231;2023-04-12T00:00:50Z
person;66;78;59;19;7;0,893939393939394;0,756410256410256;2023-04-12T00:01:00Z
person;66;78;58;20;8;0,878787878787879;0,743589743589744;2023-04-12T00:01:30Z
person;66;78;60;18;6;0,909090909090909;0,769230769230769;2023-04-12T00:01:40Z
person;66;78;65;13;1;0,984848484848485;0,833333333333333;2023-04-12T00:02:30Z
person;66;78;63;15;3;0,954545454545455;0,807692307692308;2023-04-12T00:03:00Z
person;66;78;66;12;0;1,000000000000000;0,846153846153846;2023-04-12T00:05:00Z
person;66;78;66;12;0;1,000000000000000;0,846153846153846;2023-04-12T00:07:30Z
person;66;78;66;12;0;1,000000000000000;0,846153846153846;2023-04-12T00:15:00Z
