Class;gt;eval;rp;fp;fn
bicycle;9;7.0;5.0;2.0;4.0
bus;9;9.0;8.0;1.0;1.0
car;188;185.0;175.0;10.0;13.0
motorcycle;5;4.0;4.0;0.0;1.0
person;58;32.0;30.0;2.0;28.0
truck;5;5.0;4.0;1.0;1.0
