Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bicycle;8;9;7;2;1;0,875;0,777777777777778;0,823529411764706;2023-04-17T00:00:10Z
bicycle;8;9;8;1;0;1,000;0,888888888888889;0,941176470588235;2023-04-17T00:00:20Z
bicycle;8;9;7;2;1;0,875;0,777777777777778;0,823529411764706;2023-04-17T00:00:30Z
bicycle;8;9;8;1;0;1,000;0,888888888888889;0,941176470588235;2023-04-17T00:00:50Z
bicycle;8;9;8;1;0;1,000;0,888888888888889;0,941176470588235;2023-04-17T00:01:00Z
bicycle;8;9;8;1;0;1,000;0,888888888888889;0,941176470588235;2023-04-17T00:01:30Z
bicycle;8;9;8;1;0;1,000;0,888888888888889;0,941176470588235;2023-04-17T00:01:40Z
bicycle;8;9;8;1;0;1,000;0,888888888888889;0,941176470588235;2023-04-17T00:02:30Z
bicycle;8;9;8;1;0;1,000;0,888888888888889;0,941176470588235;2023-04-17T00:03:00Z
bicycle;8;9;8;1;0;1,000;0,888888888888889;0,941176470588235;2023-04-17T00:05:00Z
bicycle;8;9;8;1;0;1,000;0,888888888888889;0,941176470588235;2023-04-17T00:07:30Z
bicycle;8;9;8;1;0;1,000;0,888888888888889;0,941176470588235;2023-04-17T00:15:00Z
