Class;gt;eval;rp;fp;fn
bicycle;4.0;1;1.0;0.0;3.0
bus;8.0;8;8.0;0.0;0.0
car;169.0;178;169.0;9.0;0.0
motorcycle;4.0;3;2.0;1.0;2.0
person;72.0;57;57.0;0.0;15.0
