Class;gt;eval;rp;fp;fn
bicycle;9.0;9.0;4.0;5.0;5.0
bus;9.0;13.0;8.0;5.0;1.0
car;188.0;190.0;172.0;18.0;16.0
motorcycle;5.0;5.0;4.0;1.0;1.0
person;58.0;47.0;27.0;20.0;31.0
truck;5.0;13.0;4.0;9.0;1.0
