;Class;gt;eval;t_start;t_end
0;person;6.0;6.0;18:30:00;18:31:00
1;person;7.0;7.0;18:31:00;18:32:00
2;bicycle;1.0;1.0;18:31:00;18:32:00
3;person;8.0;8.0;18:32:00;18:33:00
4;person;6.0;6.0;18:33:00;18:34:00
5;person;1.0;1.0;18:35:00;18:36:00
6;person;9.0;9.0;18:36:00;18:37:00
7;person;8.0;8.0;18:37:00;18:38:00
8;person;1.0;1.0;18:38:00;18:39:00
9;bicycle;0.0;1.0;18:38:00;18:39:00
10;person;6.0;6.0;18:39:00;18:40:00
11;person;17.0;15.0;18:40:00;18:41:00
12;person;9.0;9.0;18:41:00;18:42:00
13;person;10.0;10.0;18:42:00;18:43:00
14;car;1.0;0.0;18:42:00;18:43:00
15;person;9.0;8.0;18:43:00;18:44:00
16;person;6.0;6.0;18:44:00;18:45:00
