;Class;gt;eval;t_start;t_end
0;person;14;14.0;18:30:00;18:31:00
1;person;14;14.0;18:31:00;18:32:00
2;bicycle;1;1.0;18:31:00;18:32:00
3;person;11;11.0;18:32:00;18:33:00
4;person;8;7.0;18:33:00;18:34:00
5;bicycle;1;1.0;18:33:00;18:34:00
6;person;4;3.0;18:34:00;18:35:00
7;person;6;6.0;18:35:00;18:36:00
8;person;17;17.0;18:36:00;18:37:00
9;person;8;7.0;18:37:00;18:38:00
10;person;6;5.0;18:38:00;18:39:00
11;person;9;9.0;18:39:00;18:40:00
12;bicycle;2;2.0;18:39:00;18:40:00
13;person;21;17.0;18:40:00;18:41:00
14;person;14;14.0;18:41:00;18:42:00
15;person;18;18.0;18:42:00;18:43:00
16;car;1;0.0;18:42:00;18:43:00
17;bicycle;1;1.0;18:42:00;18:43:00
18;person;8;7.0;18:43:00;18:44:00
19;person;13;13.0;18:44:00;18:45:00
