Class;gt;eval;rp;fp;fn
bicycle;5.0;2.0;2.0;0.0;3.0
car;1.0;1.0;0.0;1.0;1.0
motorcycle;0.0;3.0;0.0;3.0;0.0
person;171.0;118.0;114.0;4.0;57.0
