Class;gt;eval;rp;fp;fn
bicycle;9;9.0;5.0;4.0;4.0
bus;9;12.0;9.0;3.0;0.0
car;188;190.0;179.0;11.0;9.0
motorcycle;5;5.0;4.0;1.0;1.0
person;58;47.0;37.0;10.0;21.0
truck;5;6.0;5.0;1.0;0.0
