;Class;gt;eval;t_start;t_end
0;car;30.0;30.0;18:30:00;18:32:30
1;person;13.0;8.0;18:30:00;18:32:30
2;bicycle;2.0;0.0;18:30:00;18:32:30
3;motorcycle;0.0;1.0;18:30:00;18:32:30
4;car;20.0;20.0;18:32:30;18:35:00
5;person;5.0;5.0;18:32:30;18:35:00
6;bus;2.0;2.0;18:32:30;18:35:00
7;car;27.0;27.0;18:35:00;18:37:30
8;person;11.0;8.0;18:35:00;18:37:30
9;bicycle;2.0;0.0;18:35:00;18:37:30
10;truck;1.0;1.0;18:35:00;18:37:30
11;motorcycle;1.0;1.0;18:35:00;18:37:30
12;bus;1.0;1.0;18:35:00;18:37:30
13;car;38.0;37.0;18:37:30;18:40:00
14;person;2.0;3.0;18:37:30;18:40:00
15;truck;2.0;3.0;18:37:30;18:40:00
16;bicycle;1.0;0.0;18:37:30;18:40:00
17;motorcycle;1.0;1.0;18:37:30;18:40:00
18;car;18.0;19.0;18:40:00;18:42:30
19;person;5.0;4.0;18:40:00;18:42:30
20;bus;2.0;2.0;18:40:00;18:42:30
21;car;23.0;22.0;18:42:30;18:45:00
22;person;5.0;4.0;18:42:30;18:45:00
23;bicycle;2.0;0.0;18:42:30;18:45:00
24;bus;1.0;1.0;18:42:30;18:45:00
