;Class;gt;eval;t_start;t_end
0;car;34.0;35.0;18:45:00;18:47:30
1;person;6.0;2.0;18:45:00;18:47:30
2;motorcycle;3.0;2.0;18:45:00;18:47:30
3;bicycle;2.0;0.0;18:45:00;18:47:30
4;car;26.0;29.0;18:47:30;18:50:00
5;person;13.0;15.0;18:47:30;18:50:00
6;bus;2.0;2.0;18:47:30;18:50:00
7;motorcycle;1.0;1.0;18:47:30;18:50:00
8;bicycle;1.0;0.0;18:47:30;18:50:00
9;car;35.0;35.0;18:50:00;18:52:30
10;person;11.0;12.0;18:50:00;18:52:30
11;bus;1.0;0.0;18:50:00;18:52:30
12;truck;0.0;1.0;18:50:00;18:52:30
13;car;25.0;28.0;18:52:30;18:55:00
14;person;21.0;18.0;18:52:30;18:55:00
15;bicycle;1.0;0.0;18:52:30;18:55:00
16;bus;1.0;1.0;18:52:30;18:55:00
17;car;24.0;26.0;18:55:00;18:57:30
18;person;8.0;6.0;18:55:00;18:57:30
19;bus;3.0;2.0;18:55:00;18:57:30
20;bicycle;2.0;0.0;18:55:00;18:57:30
21;car;31.0;33.0;18:57:30;19:00:00
22;person;9.0;5.0;18:57:30;19:00:00
23;bus;1.0;1.0;18:57:30;19:00:00
24;motorcycle;0.0;1.0;18:57:30;19:00:00
