Class;gt_Haltelinie;eval_Haltelinie;delta_Haltelinie;sens_Haltelinie;gt_Querschnitt_Straße;eval_Querschnitt_Straße;delta_Querschnitt_Straße;sens_Querschnitt_Straße;gt_FG2;eval_FG2;delta_FG2;sens_FG2;gt_FG1;eval_FG1;delta_FG1;sens_FG1
person;11;6;-5;0.5454545454545454;9.0;7.0;-2.0;0.7777777777777778;12.0;13.0;1.0;1.0833333333333333;37.0;32.0;-5.0;0.8648648648648649
car;5;4;-1;0.8;3.0;3.0;0.0;1.0;;;;;;;;
bicycle;1;2;1;2.0;1.0;;;;;;;;;;;
motorcycle;1;1;0;1.0;;;;;1.0;1.0;0.0;1.0;;;;
