Class;gt_Haltelinie;eval_Haltelinie;delta_Haltelinie;sens_Haltelinie;gt_Querschnitt_Straße;eval_Querschnitt_Straße;delta_Querschnitt_Straße;sens_Querschnitt_Straße;gt_FG2;eval_FG2;delta_FG2;sens_FG2;gt_FG1;eval_FG1;delta_FG1;sens_FG1
car;12.0;13;1.0;1.0833333333333333;14.0;13.0;-1.0;0.9285714285714286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
person;6.0;7;1.0;1.1666666666666667;9.0;10.0;1.0;1.1111111111111112;7.0;7.0;0.0;1.0;18.0;14.0;-4.0;0.7777777777777778
motorcycle;2.0;1;-1.0;0.5;2.0;3.0;1.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
bus;1.0;1;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
truck;1.0;3;2.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
bicycle;0.0;1;1.0;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
