Class;gt_Haltelinie;eval_Haltelinie;delta_Haltelinie;sens_Haltelinie;gt_Querschnitt_Straße;eval_Querschnitt_Straße;delta_Querschnitt_Straße;sens_Querschnitt_Straße;gt_FG2;eval_FG2;delta_FG2;sens_FG2;gt_FG1;eval_FG1;delta_FG1;sens_FG1
person;19;16;-3;0.8421052631578947;24;25.0;1.0;1.0416666666666667;29.0;30.0;1.0;1.0344827586206897;61.0;51.0;-10.0;0.8360655737704918
car;18;18;0;1.0;18;17.0;-1.0;0.9444444444444444;;;;;;;;
motorcycle;3;2;-1;0.6666666666666666;2;3.0;1.0;1.5;1.0;1.0;0.0;1.0;;;;
bicycle;2;4;2;2.0;1;;;;;;;;1.0;2.0;1.0;2.0
bus;1;1;0;1.0;1;1.0;0.0;1.0;;;;;;;;
truck;1;3;2;3.0;1;1.0;0.0;1.0;;;;;;;;
