;Class;gt;eval;rp;fp;fn;t_start;t_end
0;car;188;190;188;2;0;13:15:00;13:30:00
1;person;58;47;47;0;11;13:15:00;13:30:00
2;bicycle;9;9;9;0;0;13:15:00;13:30:00
3;bus;9;13;9;4;0;13:15:00;13:30:00
4;motorcycle;5;5;5;0;0;13:15:00;13:30:00
5;truck;5;13;5;8;0;13:15:00;13:30:00
