Class;gt;eval;rp;fp;fn
bicycle;9.0;9.0;6.0;3.0;3.0
bus;9.0;13.0;9.0;4.0;0.0
car;188.0;190.0;183.0;7.0;5.0
motorcycle;5.0;5.0;4.0;1.0;1.0
person;58.0;37.0;37.0;0.0;21.0
truck;5.0;13.0;5.0;8.0;0.0
