Class;gt;eval;rp;fp;fn
bicycle;10.0;4.0;3.0;1.0;7.0
bus;9.0;11.0;7.0;4.0;2.0
car;190.0;184.0;169.0;15.0;21.0
motorcycle;4.0;4.0;3.0;1.0;1.0
person;105.0;133.0;70.0;63.0;35.0
truck;5.0;10.0;2.0;8.0;3.0
