;Class;gt;eval;t_start;t_end
0;bicycle;10.0;8;08:30:00;08:32:30
1;car;1.0;1;08:30:00;08:32:30
2;person;1.0;4;08:30:00;08:32:30
3;bicycle;11.0;10;08:32:30;08:35:00
4;person;1.0;2;08:32:30;08:35:00
5;bicycle;12.0;13;08:35:00;08:37:30
6;person;3.0;4;08:35:00;08:37:30
7;bicycle;17.0;17;08:37:30;08:40:00
8;person;5.0;4;08:37:30;08:40:00
9;motorcycle;0.0;1;08:37:30;08:40:00
10;bicycle;10.0;7;08:40:00;08:42:30
11;person;3.0;6;08:40:00;08:42:30
12;person;11.0;10;08:42:30;08:45:00
13;bicycle;10.0;10;08:42:30;08:45:00
14;motorcycle;0.0;1;08:42:30;08:45:00
