Class;gt;eval;rp;fp;fn
bicycle;6.0;0.0;0.0;0.0;6.0
bus;8.0;6.0;5.0;1.0;3.0
car;175.0;186.0;175.0;11.0;0.0
motorcycle;4.0;4.0;2.0;2.0;2.0
person;68.0;60.0;54.0;6.0;14.0
truck;0.0;1.0;0.0;1.0;0.0
