Class;gt;eval;rp;fp;fn;S;G;F1;t_int
car;196;193;190;3;6;0,969387755102041;0,984455958549223;0,976863753213368;2023-04-17T00:00:10Z
car;196;193;190;3;6;0,969387755102041;0,984455958549223;0,976863753213368;2023-04-17T00:00:20Z
car;196;193;190;3;6;0,969387755102041;0,984455958549223;0,976863753213368;2023-04-17T00:00:30Z
car;196;193;192;1;4;0,979591836734694;0,994818652849741;0,987146529562982;2023-04-17T00:00:50Z
car;196;193;190;3;6;0,969387755102041;0,984455958549223;0,976863753213368;2023-04-17T00:01:00Z
car;196;193;191;2;5;0,974489795918367;0,989637305699482;0,982005141388175;2023-04-17T00:01:30Z
car;196;193;192;1;4;0,979591836734694;0,994818652849741;0,987146529562982;2023-04-17T00:01:40Z
car;196;193;192;1;4;0,979591836734694;0,994818652849741;0,987146529562982;2023-04-17T00:02:30Z
car;196;193;191;2;5;0,974489795918367;0,989637305699482;0,982005141388175;2023-04-17T00:03:00Z
car;196;193;192;1;4;0,979591836734694;0,994818652849741;0,987146529562982;2023-04-17T00:05:00Z
car;196;193;193;0;3;0,984693877551020;1,000000000000000;0,992287917737789;2023-04-17T00:07:30Z
car;196;193;193;0;3;0,984693877551020;1,000000000000000;0,992287917737789;2023-04-17T00:15:00Z
