;Class;gt;eval;t_start;t_end
0;car;15.0;15.0;18:30:00;18:31:00
1;person;4.0;4.0;18:30:00;18:31:00
2;bicycle;1.0;0.0;18:30:00;18:31:00
3;car;6.0;6.0;18:31:00;18:32:00
4;person;4.0;5.0;18:31:00;18:32:00
5;bicycle;1.0;0.0;18:31:00;18:32:00
6;car;14.0;13.0;18:32:00;18:33:00
7;person;3.0;8.0;18:32:00;18:33:00
8;bus;2.0;0.0;18:32:00;18:33:00
9;car;10.0;10.0;18:33:00;18:34:00
10;person;4.0;7.0;18:33:00;18:34:00
11;car;5.0;5.0;18:34:00;18:35:00
12;person;3.0;3.0;18:34:00;18:35:00
13;bicycle;1.0;0.0;18:34:00;18:35:00
14;car;14.0;15.0;18:35:00;18:36:00
15;person;5.0;6.0;18:35:00;18:36:00
16;truck;1.0;1.0;18:35:00;18:36:00
17;car;10.0;9.0;18:36:00;18:37:00
18;person;4.0;6.0;18:36:00;18:37:00
19;bicycle;2.0;0.0;18:36:00;18:37:00
20;motorcycle;1.0;0.0;18:36:00;18:37:00
21;bus;1.0;0.0;18:36:00;18:37:00
22;car;10.0;11.0;18:37:00;18:38:00
23;person;4.0;4.0;18:37:00;18:38:00
24;car;13.0;12.0;18:38:00;18:39:00
25;person;4.0;5.0;18:38:00;18:39:00
26;truck;2.0;0.0;18:38:00;18:39:00
27;motorcycle;1.0;1.0;18:38:00;18:39:00
28;car;16.0;16.0;18:39:00;18:40:00
29;bicycle;1.0;0.0;18:39:00;18:40:00
30;person;1.0;0.0;18:39:00;18:40:00
31;car;10.0;10.0;18:40:00;18:41:00
32;person;3.0;4.0;18:40:00;18:41:00
33;bicycle;1.0;0.0;18:40:00;18:41:00
34;bus;1.0;1.0;18:40:00;18:41:00
35;person;10.0;7.0;18:41:00;18:42:00
36;car;8.0;8.0;18:41:00;18:42:00
37;bus;1.0;1.0;18:41:00;18:42:00
38;truck;0.0;1.0;18:41:00;18:42:00
39;car;8.0;8.0;18:42:00;18:43:00
40;person;3.0;8.0;18:42:00;18:43:00
41;bicycle;1.0;0.0;18:42:00;18:43:00
42;person;11.0;10.0;18:43:00;18:44:00
43;car;2.0;2.0;18:43:00;18:44:00
44;car;15.0;15.0;18:44:00;18:45:00
45;person;4.0;1.0;18:44:00;18:45:00
46;bus;1.0;1.0;18:44:00;18:45:00
