;Class;gt;eval;t_start;t_end
0;person;19;19.0;18:30:00;18:32:30
1;bicycle;1;1.0;18:30:00;18:32:30
2;person;8;8.0;18:32:30;18:35:00
3;person;16;16.0;18:35:00;18:37:30
4;person;9;9.0;18:37:30;18:40:00
5;bicycle;1;1.0;18:37:30;18:40:00
6;person;35;33.0;18:40:00;18:42:30
7;car;1;0.0;18:40:00;18:42:30
8;person;16;15.0;18:42:30;18:45:00
