EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
60,Nord,31,490,156,12479,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:40:23
61,Sued,31,445,79,12735,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:40:36
62,Nord,32,473,161,12503,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:40:25
63,Sued,32,444,79,12855,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:40:42
64,Sued,33,537,69,12743,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:40:37
65,Nord,33,634,131,12779,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:40:38
66,Sued,34,537,69,12922,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:40:46
67,Nord,34,634,131,12986,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:40:49
68,Nord,35,481,158,13951,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:41:37
69,Sued,35,446,80,14402,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:42:00
70,Nord,36,513,151,14003,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:41:40
71,Sued,36,465,79,14383,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:41:59
72,Sued,37,565,68,15153,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:42:37
73,Nord,37,697,120,15210,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:42:40
74,Sued,38,450,77,15452,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:42:52
75,Nord,38,483,158,15683,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:43:04
76,Sued,39,570,67,15793,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:43:09
77,Nord,39,763,107,15848,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:43:12
78,Sued,40,533,71,15808,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:43:10
79,Nord,40,637,129,15848,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:43:12
80,Sued,41,540,71,15898,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:43:14
81,Nord,41,653,131,15948,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:43:17
82,Nord,42,573,140,16368,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:43:38
83,Sued,42,489,75,17028,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:44:11
84,Sued,43,461,79,17048,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:44:12
85,Sued,44,634,62,16417,Car,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:43:40
86,Nord,44,774,107,16435,Car,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:43:41
87,Nord,45,465,163,16504,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:43:45
88,Sued,45,457,77,17064,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:44:13
