Class;gt;eval;rp;fp;fn
bicycle;9.0;9.0;5.0;4.0;4.0
bus;9.0;13.0;9.0;4.0;0.0
car;188.0;190.0;179.0;11.0;9.0
motorcycle;5.0;5.0;4.0;1.0;1.0
person;58.0;38.0;32.0;6.0;26.0
truck;5.0;13.0;5.0;8.0;0.0
