;Class;gt;eval;t_start;t_end
0;car;62;60.0;13:15:00;13:20:00
1;person;30;45.0;13:15:00;13:20:00
2;motorcycle;3;3.0;13:15:00;13:20:00
3;bicycle;2;4.0;13:15:00;13:20:00
4;truck;1;1.0;13:15:00;13:20:00
5;bus;1;1.0;13:15:00;13:20:00
6;car;54;62.0;13:20:00;13:25:00
7;person;12;17.0;13:20:00;13:25:00
8;bicycle;3;4.0;13:20:00;13:25:00
9;bus;2;2.0;13:20:00;13:25:00
10;truck;1;0.0;13:20:00;13:25:00
11;motorcycle;1;1.0;13:20:00;13:25:00
12;car;72;71.0;13:25:00;13:30:00
13;person;16;23.0;13:25:00;13:30:00
14;bus;6;6.0;13:25:00;13:30:00
15;bicycle;4;4.0;13:25:00;13:30:00
16;truck;3;1.0;13:25:00;13:30:00
17;motorcycle;1;1.0;13:25:00;13:30:00
