Class;gt;eval;rp;fp;fn
bicycle;8.0;0.0;0.0;0.0;8.0
bus;6.0;3.0;3.0;0.0;3.0
car;157.0;155.0;154.0;1.0;3.0
motorcycle;2.0;1.0;1.0;0.0;1.0
person;66.0;78.0;58.0;20.0;8.0
truck;3.0;2.0;1.0;1.0;2.0
