;Class;gt;eval;t_start;t_end
0;bicycle;13.0;7.0;08:15:00;08:17:30
1;truck;1.0;0.0;08:15:00;08:17:30
2;person;1.0;2.0;08:15:00;08:17:30
3;car;0.0;1.0;08:15:00;08:17:30
4;bicycle;11.0;8.0;08:17:30;08:20:00
5;person;1.0;1.0;08:17:30;08:20:00
6;bicycle;21.0;13.0;08:20:00;08:22:30
7;person;1.0;5.0;08:20:00;08:22:30
8;bicycle;14.0;9.0;08:22:30;08:25:00
9;person;0.0;2.0;08:22:30;08:25:00
10;bicycle;14.0;10.0;08:25:00;08:27:30
11;person;2.0;2.0;08:25:00;08:27:30
12;bicycle;19.0;17.0;08:27:30;08:30:00
13;person;4.0;6.0;08:27:30;08:30:00
14;car;0.0;1.0;08:27:30;08:30:00
