;Class;gt;eval;t_start;t_end
0;car;12.0;13.0;18:45:00;18:46:00
1;person;4.0;2.0;18:45:00;18:46:00
2;motorcycle;2.0;0.0;18:45:00;18:46:00
3;bicycle;1.0;0.0;18:45:00;18:46:00
4;car;9.0;9.0;18:46:00;18:47:00
5;person;1.0;0.0;18:46:00;18:47:00
6;bicycle;1.0;0.0;18:46:00;18:47:00
7;car;14.0;14.0;18:47:00;18:48:00
8;person;6.0;5.0;18:47:00;18:48:00
9;motorcycle;1.0;2.0;18:47:00;18:48:00
10;bus;1.0;1.0;18:47:00;18:48:00
11;car;9.0;10.0;18:48:00;18:49:00
12;person;4.0;5.0;18:48:00;18:49:00
13;car;16.0;18.0;18:49:00;18:50:00
14;person;4.0;8.0;18:49:00;18:50:00
15;motorcycle;1.0;1.0;18:49:00;18:50:00
16;bus;1.0;1.0;18:49:00;18:50:00
17;bicycle;1.0;0.0;18:49:00;18:50:00
18;car;16.0;16.0;18:50:00;18:51:00
19;person;5.0;4.0;18:50:00;18:51:00
20;truck;0.0;1.0;18:50:00;18:51:00
21;car;11.0;10.0;18:51:00;18:52:00
22;person;5.0;7.0;18:51:00;18:52:00
23;car;11.0;12.0;18:52:00;18:53:00
24;person;8.0;9.0;18:52:00;18:53:00
25;bus;1.0;0.0;18:52:00;18:53:00
26;bicycle;1.0;0.0;18:52:00;18:53:00
27;car;16.0;17.0;18:53:00;18:54:00
28;person;7.0;3.0;18:53:00;18:54:00
29;bus;1.0;1.0;18:53:00;18:54:00
30;person;7.0;7.0;18:54:00;18:55:00
31;car;6.0;8.0;18:54:00;18:55:00
32;car;14.0;15.0;18:55:00;18:56:00
33;person;4.0;2.0;18:55:00;18:56:00
34;bus;1.0;0.0;18:55:00;18:56:00
35;bicycle;1.0;0.0;18:55:00;18:56:00
36;car;9.0;10.0;18:56:00;18:57:00
37;person;1.0;0.0;18:56:00;18:57:00
38;bus;1.0;0.0;18:56:00;18:57:00
39;car;16.0;16.0;18:57:00;18:58:00
40;person;5.0;5.0;18:57:00;18:58:00
41;bus;1.0;2.0;18:57:00;18:58:00
42;bicycle;1.0;0.0;18:57:00;18:58:00
43;person;5.0;4.0;18:58:00;18:59:00
44;car;3.0;5.0;18:58:00;18:59:00
45;car;13.0;13.0;18:59:00;19:00:00
46;person;2.0;1.0;18:59:00;19:00:00
47;bus;1.0;1.0;18:59:00;19:00:00
48;motorcycle;0.0;1.0;18:59:00;19:00:00
