;Class;gt;eval;t_start;t_end
0;car;13.0;13.0;18:45:00;18:46:00
1;motorcycle;2.0;0.0;18:45:00;18:46:00
2;person;1.0;1.0;18:45:00;18:46:00
3;car;8.0;9.0;18:46:00;18:47:00
4;person;1.0;1.0;18:46:00;18:47:00
5;car;14.0;14.0;18:47:00;18:48:00
6;person;4.0;5.0;18:47:00;18:48:00
7;motorcycle;1.0;1.0;18:47:00;18:48:00
8;bus;1.0;1.0;18:47:00;18:48:00
9;car;11.0;10.0;18:48:00;18:49:00
10;person;7.0;10.0;18:48:00;18:49:00
11;car;14.0;15.0;18:49:00;18:50:00
12;person;9.0;4.0;18:49:00;18:50:00
13;motorcycle;1.0;1.0;18:49:00;18:50:00
14;bus;1.0;1.0;18:49:00;18:50:00
15;car;17.0;18.0;18:50:00;18:51:00
16;person;2.0;1.0;18:50:00;18:51:00
17;car;10.0;11.0;18:51:00;18:52:00
18;person;4.0;3.0;18:51:00;18:52:00
19;car;12.0;13.0;18:52:00;18:53:00
20;person;6.0;6.0;18:52:00;18:53:00
21;bus;1.0;1.0;18:52:00;18:53:00
22;bicycle;1.0;1.0;18:52:00;18:53:00
23;car;17.0;16.0;18:53:00;18:54:00
24;bus;1.0;1.0;18:53:00;18:54:00
25;person;1.0;2.0;18:53:00;18:54:00
26;person;15.0;9.0;18:54:00;18:55:00
27;car;6.0;7.0;18:54:00;18:55:00
28;car;12.0;13.0;18:55:00;18:56:00
29;bus;1.0;1.0;18:55:00;18:56:00
30;bicycle;1.0;0.0;18:55:00;18:56:00
31;person;0.0;1.0;18:55:00;18:56:00
32;car;9.0;9.0;18:56:00;18:57:00
33;person;7.0;5.0;18:56:00;18:57:00
34;bus;1.0;1.0;18:56:00;18:57:00
35;car;17.0;16.0;18:57:00;18:58:00
36;person;3.0;2.0;18:57:00;18:58:00
37;bus;1.0;1.0;18:57:00;18:58:00
38;bicycle;1.0;0.0;18:57:00;18:58:00
39;car;2.0;2.0;18:58:00;18:59:00
40;person;2.0;0.0;18:58:00;18:59:00
41;car;13.0;12.0;18:59:00;19:00:00
42;person;10.0;7.0;18:59:00;19:00:00
43;bicycle;1.0;0.0;18:59:00;19:00:00
44;bus;1.0;1.0;18:59:00;19:00:00
45;motorcycle;0.0;1.0;18:59:00;19:00:00
