Class;gt;eval;rp;fp;fn
bicycle;6;0.0;0.0;0.0;6.0
bus;3;0.0;0.0;0.0;3.0
car;116;114.0;114.0;0.0;2.0
motorcycle;2;1.0;1.0;0.0;1.0
person;36;48.0;36.0;12.0;0.0
truck;3;1.0;1.0;0.0;2.0
