Class;gt;eval;rp;fp;fn
bicycle;8;0.0;0.0;0.0;8.0
bus;5;2.0;2.0;0.0;3.0
car;142;140.0;138.0;2.0;4.0
motorcycle;2;1.0;1.0;0.0;1.0
person;65;77.0;57.0;20.0;8.0
truck;3;1.0;1.0;0.0;2.0
