Class;gt;eval;rp;fp;fn;S;G;t_int
person;58;47;30;17;28;0,517241379310345;0,638297872340426;2023-04-12T00:00:10Z
person;58;47;30;17;28;0,517241379310345;0,638297872340426;2023-04-12T00:00:20Z
person;58;47;35;12;23;0,603448275862069;0,744680851063830;2023-04-12T00:00:30Z
person;58;47;37;10;21;0,637931034482759;0,787234042553192;2023-04-12T00:00:50Z
person;58;47;42;5;16;0,724137931034483;0,893617021276596;2023-04-12T00:01:00Z
person;58;47;47;0;11;0,810344827586207;1,000000000000000;2023-04-12T00:01:30Z
person;58;47;44;3;14;0,758620689655172;0,936170212765957;2023-04-12T00:01:40Z
person;58;47;46;1;12;0,793103448275862;0,978723404255319;2023-04-12T00:02:30Z
person;58;47;47;0;11;0,810344827586207;1,000000000000000;2023-04-12T00:03:00Z
person;58;47;47;0;11;0,810344827586207;1,000000000000000;2023-04-12T00:05:00Z
person;58;47;47;0;11;0,810344827586207;1,000000000000000;2023-04-12T00:07:30Z
person;58;47;47;0;11;0,810344827586207;1,000000000000000;2023-04-12T00:15:00Z
