,Class,Crossed_Section,Movement,Appearance
1,person,,,2022-09-20 08:00:00
2,person,,,2022-09-20 08:00:05
3,person,,,2022-09-20 08:00:06
4,person,,,2022-09-20 08:00:20
6,person,,,2022-09-20 08:00:23
7,bicycle,,,2022-09-20 08:00:23
11,bicycle,,,2022-09-20 08:00:25
13,person,,,2022-09-20 08:00:26
14,person,,,2022-09-20 08:00:27
17,person,"['Sued', 'Nord']",,2022-09-20 08:00:32
21,person,,,2022-09-20 08:00:33
23,bicycle,,,2022-09-20 08:00:35
24,bicycle,,,2022-09-20 08:00:35
25,bicycle,,,2022-09-20 08:00:35
26,bicycle,,,2022-09-20 08:00:36
27,bicycle,,,2022-09-20 08:00:36
28,bicycle,,,2022-09-20 08:00:37
31,person,,,2022-09-20 08:00:39
32,bicycle,['Sued'],,2022-09-20 08:00:39
33,bicycle,,,2022-09-20 08:00:40
34,bicycle,,,2022-09-20 08:00:40
35,person,,,2022-09-20 08:00:57
36,bicycle,,,2022-09-20 08:00:57
37,person,,,2022-09-20 08:00:58
38,person,,,2022-09-20 08:00:58
39,bicycle,,,2022-09-20 08:00:58
42,person,,,2022-09-20 08:01:00
44,bicycle,,,2022-09-20 08:01:00
46,person,,,2022-09-20 08:01:01
47,person,,,2022-09-20 08:01:01
48,person,,,2022-09-20 08:01:02
49,person,,,2022-09-20 08:01:02
50,person,,,2022-09-20 08:01:03
51,person,,,2022-09-20 08:01:04
53,unclear,,,2022-09-20 08:01:05
54,person,"['Sued', 'Nord']",,2022-09-20 08:01:07
55,person,,,2022-09-20 08:01:08
56,bicycle,,,2022-09-20 08:01:09
57,bicycle,"['Sued', 'Nord']",,2022-09-20 08:01:10
58,person,,,2022-09-20 08:01:10
60,person,,,2022-09-20 08:01:11
62,person,,,2022-09-20 08:01:12
63,bicycle,,,2022-09-20 08:01:12
64,person,,,2022-09-20 08:01:12
65,person,,,2022-09-20 08:01:17
66,person,,,2022-09-20 08:01:25
67,bicycle,,,2022-09-20 08:01:26
69,bicycle,,,2022-09-20 08:01:26
70,unclear,,,2022-09-20 08:01:26
71,person,,,2022-09-20 08:01:27
73,unclear,,,2022-09-20 08:01:27
74,unclear,,,2022-09-20 08:01:27
75,person,,,2022-09-20 08:01:28
76,person,,,2022-09-20 08:01:29
77,person,,,2022-09-20 08:01:30
78,person,,,2022-09-20 08:01:31
79,person,,,2022-09-20 08:01:33
80,person,,,2022-09-20 08:01:34
82,bicycle,,,2022-09-20 08:01:35
83,person,,,2022-09-20 08:01:36
84,person,,,2022-09-20 08:01:37
85,person,,,2022-09-20 08:01:38
86,person,,,2022-09-20 08:01:39
87,person,,,2022-09-20 08:01:41
88,person,,,2022-09-20 08:01:42
89,bicycle,,,2022-09-20 08:01:58
90,person,,,2022-09-20 08:01:58
92,unclear,,,2022-09-20 08:01:59
93,bicycle,,,2022-09-20 08:01:59
95,unclear,,,2022-09-20 08:01:59
96,bicycle,['Nord'],,2022-09-20 08:02:00
97,unclear,,,2022-09-20 08:02:00
99,person,['Nord'],,2022-09-20 08:02:00
100,person,,,2022-09-20 08:02:00
101,unclear,,,2022-09-20 08:02:00
102,bus,,,2022-09-20 08:02:00
105,person,,,2022-09-20 08:02:01
106,unclear,,,2022-09-20 08:02:01
107,bicycle,,,2022-09-20 08:02:02
108,person,,,2022-09-20 08:02:02
109,bus,,,2022-09-20 08:02:02
110,person,,,2022-09-20 08:02:02
111,bicycle,,,2022-09-20 08:02:02
112,person,,,2022-09-20 08:02:04
114,person,,,2022-09-20 08:02:06
115,bicycle,,,2022-09-20 08:02:06
118,bicycle,,,2022-09-20 08:02:07
119,person,,,2022-09-20 08:02:14
120,car,,,2022-09-20 08:02:14
121,bicycle,,,2022-09-20 08:02:15
122,bicycle,,,2022-09-20 08:02:15
123,person,,,2022-09-20 08:02:19
125,person,"['Sued', 'Nord']",,2022-09-20 08:02:21
126,bicycle,,,2022-09-20 08:02:22
127,car,,,2022-09-20 08:02:22
128,person,,,2022-09-20 08:02:22
129,bicycle,"['Sued', 'Nord']",,2022-09-20 08:02:22
130,person,"['Sued', 'Nord']",,2022-09-20 08:02:23
131,bicycle,"['Sued', 'Nord']",,2022-09-20 08:02:24
132,person,,,2022-09-20 08:02:24
133,bicycle,,,2022-09-20 08:02:25
134,bicycle,,,2022-09-20 08:02:25
136,person,,,2022-09-20 08:02:25
137,unclear,,,2022-09-20 08:02:25
139,bicycle,,,2022-09-20 08:02:26
141,bicycle,['Sued'],,2022-09-20 08:02:26
144,unclear,,,2022-09-20 08:02:28
145,person,,,2022-09-20 08:02:29
147,person,,,2022-09-20 08:02:32
148,bus,,,2022-09-20 08:02:33
149,bus,,,2022-09-20 08:02:33
152,person,"['Sued', 'Nord']",,2022-09-20 08:02:37
154,car,,,2022-09-20 08:02:39
155,unclear,,,2022-09-20 08:02:44
157,person,,,2022-09-20 08:02:45
158,bicycle,,,2022-09-20 08:02:45
159,unclear,,,2022-09-20 08:02:46
160,unclear,,,2022-09-20 08:02:46
162,person,,,2022-09-20 08:02:47
163,person,,,2022-09-20 08:02:53
164,bicycle,,,2022-09-20 08:02:53
165,car,,,2022-09-20 08:02:55
166,unclear,,,2022-09-20 08:02:55
167,unclear,,,2022-09-20 08:02:58
168,person,,,2022-09-20 08:02:58
169,unclear,,,2022-09-20 08:02:58
170,car,,,2022-09-20 08:03:08
171,person,,,2022-09-20 08:03:16
172,bicycle,,,2022-09-20 08:03:17
173,person,,,2022-09-20 08:03:18
175,person,,,2022-09-20 08:03:19
176,person,,,2022-09-20 08:03:19
177,person,,,2022-09-20 08:03:22
178,person,,,2022-09-20 08:03:23
180,person,"['Sued', 'Nord']",,2022-09-20 08:03:24
181,bicycle,,,2022-09-20 08:03:25
182,bicycle,"['Sued', 'Nord']",,2022-09-20 08:03:26
183,bicycle,,,2022-09-20 08:03:27
184,bicycle,,,2022-09-20 08:03:27
187,unclear,['Sued'],,2022-09-20 08:03:28
188,person,,,2022-09-20 08:03:29
190,person,,,2022-09-20 08:03:33
191,person,,,2022-09-20 08:03:34
192,person,,,2022-09-20 08:03:35
193,bicycle,,,2022-09-20 08:03:36
196,person,,,2022-09-20 08:03:39
197,person,,,2022-09-20 08:03:39
198,person,,,2022-09-20 08:03:40
199,bicycle,,,2022-09-20 08:03:51
200,unclear,,,2022-09-20 08:03:52
201,person,,,2022-09-20 08:03:55
203,bicycle,,,2022-09-20 08:03:55
204,unclear,,,2022-09-20 08:03:55
207,person,,,2022-09-20 08:03:56
208,bicycle,,,2022-09-20 08:03:56
209,person,,,2022-09-20 08:03:58
210,person,,,2022-09-20 08:04:01
211,bicycle,,,2022-09-20 08:04:01
212,person,,,2022-09-20 08:04:01
213,bicycle,,,2022-09-20 08:04:01
214,unclear,,,2022-09-20 08:04:02
