,Class,Crossed_Section,Movement,Appearance
1,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 13:15:00
2,car,,,2022-10-17 13:15:00
3,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 13:15:00
4,person,,,2022-10-17 13:15:00
5,car,,,2022-10-17 13:15:00
6,car,,,2022-10-17 13:15:00
7,person,,,2022-10-17 13:15:00
8,person,['FG2'],,2022-10-17 13:15:00
9,person,,,2022-10-17 13:15:00
10,truck,,,2022-10-17 13:15:00
11,person,['FG1'],,2022-10-17 13:15:00
12,bicycle,,,2022-10-17 13:15:00
13,person,,,2022-10-17 13:15:00
14,bicycle,,,2022-10-17 13:15:00
15,person,,,2022-10-17 13:15:00
16,person,,,2022-10-17 13:15:00
17,bicycle,,,2022-10-17 13:15:00
18,person,"['FG1', 'Querschnitt_Straße']",,2022-10-17 13:15:00
19,person,['FG1'],,2022-10-17 13:15:00
20,car,,,2022-10-17 13:15:00
21,person,['FG1'],,2022-10-17 13:15:00
23,person,,,2022-10-17 13:15:00
24,person,['FG1'],,2022-10-17 13:15:00
27,person,"['FG1', 'Querschnitt_Straße']",,2022-10-17 13:15:01
28,person,,,2022-10-17 13:15:01
29,person,['FG1'],,2022-10-17 13:15:01
31,person,,,2022-10-17 13:15:01
32,person,,,2022-10-17 13:15:01
33,person,['FG1'],,2022-10-17 13:15:01
35,person,['FG1'],,2022-10-17 13:15:01
37,person,,,2022-10-17 13:15:01
38,person,,,2022-10-17 13:15:02
39,person,['FG1'],,2022-10-17 13:15:02
40,person,['Haltelinie'],,2022-10-17 13:15:02
41,person,,,2022-10-17 13:15:02
43,car,,,2022-10-17 13:15:02
44,person,['FG1'],,2022-10-17 13:15:03
45,person,['FG1'],,2022-10-17 13:15:03
46,person,,,2022-10-17 13:15:03
47,person,,,2022-10-17 13:15:04
48,unclear,,,2022-10-17 13:15:04
50,person,,,2022-10-17 13:15:04
51,person,,,2022-10-17 13:15:04
54,person,['FG1'],,2022-10-17 13:15:05
55,person,['Haltelinie'],,2022-10-17 13:15:05
56,car,,,2022-10-17 13:15:05
57,person,,,2022-10-17 13:15:06
58,car,,,2022-10-17 13:15:06
60,person,,,2022-10-17 13:15:06
62,person,,,2022-10-17 13:15:06
63,unclear,,,2022-10-17 13:15:06
64,person,,,2022-10-17 13:15:06
65,person,,,2022-10-17 13:15:06
66,person,['Haltelinie'],,2022-10-17 13:15:07
67,person,,,2022-10-17 13:15:07
73,person,,,2022-10-17 13:15:08
74,person,,,2022-10-17 13:15:08
75,unclear,,,2022-10-17 13:15:08
78,person,,,2022-10-17 13:15:09
80,bicycle,,,2022-10-17 13:15:09
81,person,,,2022-10-17 13:15:09
82,person,,,2022-10-17 13:15:09
83,unclear,,,2022-10-17 13:15:09
86,person,,,2022-10-17 13:15:10
87,person,,,2022-10-17 13:15:10
88,person,,,2022-10-17 13:15:10
89,bicycle,,,2022-10-17 13:15:10
90,person,['FG1'],,2022-10-17 13:15:10
91,person,,,2022-10-17 13:15:11
93,person,['FG1'],,2022-10-17 13:15:11
94,unclear,,,2022-10-17 13:15:11
95,person,,,2022-10-17 13:15:11
96,person,['FG1'],,2022-10-17 13:15:11
97,car,,,2022-10-17 13:15:12
98,person,,,2022-10-17 13:15:12
99,person,,,2022-10-17 13:15:12
100,person,,,2022-10-17 13:15:12
101,person,['FG1'],,2022-10-17 13:15:12
102,car,,,2022-10-17 13:15:13
104,person,,,2022-10-17 13:15:14
106,unclear,,,2022-10-17 13:15:14
107,person,,,2022-10-17 13:15:14
108,person,,,2022-10-17 13:15:15
109,unclear,,,2022-10-17 13:15:15
110,person,['Querschnitt_Straße'],,2022-10-17 13:15:15
112,person,,,2022-10-17 13:15:15
113,person,['Haltelinie'],,2022-10-17 13:15:15
114,person,,,2022-10-17 13:15:15
115,person,"['FG1', 'Querschnitt_Straße']",,2022-10-17 13:15:16
116,person,,,2022-10-17 13:15:16
118,car,,,2022-10-17 13:15:16
120,person,,,2022-10-17 13:15:17
121,person,['FG1'],,2022-10-17 13:15:17
122,unclear,,,2022-10-17 13:15:17
123,bicycle,,,2022-10-17 13:15:17
124,person,,,2022-10-17 13:15:18
126,person,,,2022-10-17 13:15:18
127,motorcycle,,,2022-10-17 13:15:19
128,person,,,2022-10-17 13:15:19
130,person,,,2022-10-17 13:15:20
134,person,,,2022-10-17 13:15:21
135,person,,,2022-10-17 13:15:22
136,bicycle,,,2022-10-17 13:15:22
138,bicycle,,,2022-10-17 13:15:22
139,car,,,2022-10-17 13:15:22
140,motorcycle,,,2022-10-17 13:15:22
143,person,['FG1'],,2022-10-17 13:15:23
144,person,,,2022-10-17 13:15:24
145,person,,,2022-10-17 13:15:24
147,unclear,,,2022-10-17 13:15:24
148,person,,,2022-10-17 13:15:24
149,person,,,2022-10-17 13:15:24
150,car,,,2022-10-17 13:15:24
151,unclear,,,2022-10-17 13:15:25
152,person,,,2022-10-17 13:15:25
154,person,,,2022-10-17 13:15:25
155,person,,,2022-10-17 13:15:26
158,person,,,2022-10-17 13:15:26
159,motorcycle,,,2022-10-17 13:15:26
161,person,['FG2'],,2022-10-17 13:15:27
163,person,,,2022-10-17 13:15:27
