,Class,Crossed_Section,Movement,Appearance
2312,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:00
2313,car,,,2022-10-17 18:30:00
2314,car,,,2022-10-17 18:30:00
2315,car,,,2022-10-17 18:30:00
2316,person,,,2022-10-17 18:30:00
2317,person,['FG1'],,2022-10-17 18:30:00
2318,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:00
2319,person,,,2022-10-17 18:30:00
2320,motorcycle,,,2022-10-17 18:30:00
2321,motorcycle,,,2022-10-17 18:30:00
2322,motorcycle,,,2022-10-17 18:30:00
2323,unclear,,,2022-10-17 18:30:00
2324,person,['FG2'],,2022-10-17 18:30:00
2325,person,"['FG1', 'FG2', 'Querschnitt_Straße']",,2022-10-17 18:30:03
2326,bicycle,,,2022-10-17 18:30:04
2327,person,,,2022-10-17 18:30:05
2328,car,,,2022-10-17 18:30:06
2330,car,,,2022-10-17 18:30:07
2331,unclear,,,2022-10-17 18:30:10
2332,person,"['FG1', 'FG2']",,2022-10-17 18:30:12
2334,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:14
2335,person,,,2022-10-17 18:30:14
2336,person,,,2022-10-17 18:30:14
2338,person,,,2022-10-17 18:30:15
2339,motorcycle,,,2022-10-17 18:30:15
2340,person,,,2022-10-17 18:30:15
2341,person,,,2022-10-17 18:30:15
2342,unclear,,,2022-10-17 18:30:16
2343,unclear,,,2022-10-17 18:30:20
2344,person,,,2022-10-17 18:30:21
2345,car,,,2022-10-17 18:30:21
2346,person,"['FG1', 'Querschnitt_Straße']",,2022-10-17 18:30:21
2347,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:22
2349,unclear,"['FG1', 'Querschnitt_Straße']",,2022-10-17 18:30:22
2350,bicycle,,,2022-10-17 18:30:23
2352,person,,,2022-10-17 18:30:23
2353,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:23
2354,person,,,2022-10-17 18:30:23
2355,person,,,2022-10-17 18:30:23
2356,unclear,,,2022-10-17 18:30:23
2357,person,,,2022-10-17 18:30:24
2358,person,,,2022-10-17 18:30:24
2359,person,,,2022-10-17 18:30:24
2360,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:24
2362,unclear,['Querschnitt_Straße'],,2022-10-17 18:30:24
2363,person,,,2022-10-17 18:30:24
2365,unclear,,,2022-10-17 18:30:25
2367,car,,,2022-10-17 18:30:25
2368,person,,,2022-10-17 18:30:25
2369,car,,,2022-10-17 18:30:26
2370,person,,,2022-10-17 18:30:26
2371,person,,,2022-10-17 18:30:26
2372,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:26
2373,person,,,2022-10-17 18:30:26
2374,person,,,2022-10-17 18:30:26
2375,motorcycle,,,2022-10-17 18:30:27
2376,person,,,2022-10-17 18:30:27
2377,person,,,2022-10-17 18:30:27
2378,car,,,2022-10-17 18:30:27
2379,unclear,,,2022-10-17 18:30:27
2381,person,['FG1'],,2022-10-17 18:30:27
2384,car,,,2022-10-17 18:30:28
2385,person,"['FG1', 'FG2']",,2022-10-17 18:30:28
2387,unclear,,,2022-10-17 18:30:28
2388,car,,,2022-10-17 18:30:28
2389,person,,,2022-10-17 18:30:28
2391,person,"['FG1', 'Querschnitt_Straße']",,2022-10-17 18:30:29
2392,person,,,2022-10-17 18:30:29
2395,person,['FG1'],,2022-10-17 18:30:30
2396,person,,,2022-10-17 18:30:30
2397,car,,,2022-10-17 18:30:30
2399,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:30
2400,unclear,,,2022-10-17 18:30:30
2401,person,"['Haltelinie', 'FG1']",,2022-10-17 18:30:30
2405,unclear,,,2022-10-17 18:30:32
2406,person,['FG2'],,2022-10-17 18:30:32
2407,unclear,,,2022-10-17 18:30:32
2408,person,,,2022-10-17 18:30:32
2410,car,,,2022-10-17 18:30:32
2414,unclear,,,2022-10-17 18:30:33
2416,unclear,,,2022-10-17 18:30:34
2418,unclear,,,2022-10-17 18:30:34
2420,person,,,2022-10-17 18:30:34
2422,motorcycle,,,2022-10-17 18:30:35
2424,person,['FG1'],,2022-10-17 18:30:35
2425,bicycle,,,2022-10-17 18:30:35
2426,person,,,2022-10-17 18:30:35
2427,person,,,2022-10-17 18:30:36
2428,unclear,,,2022-10-17 18:30:36
2429,car,,,2022-10-17 18:30:36
2430,person,,,2022-10-17 18:30:36
2431,person,,,2022-10-17 18:30:37
2433,car,,,2022-10-17 18:30:37
2434,person,,,2022-10-17 18:30:37
2436,person,,,2022-10-17 18:30:38
2437,motorcycle,,,2022-10-17 18:30:39
2440,unclear,,,2022-10-17 18:30:40
2441,car,,,2022-10-17 18:30:41
2445,person,['FG2'],,2022-10-17 18:30:42
2446,motorcycle,,,2022-10-17 18:30:42
2447,person,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:42
2448,person,['FG2'],,2022-10-17 18:30:42
2449,motorcycle,['Haltelinie'],,2022-10-17 18:30:43
2450,motorcycle,,,2022-10-17 18:30:43
2453,car,,,2022-10-17 18:30:43
2455,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:43
2456,person,,,2022-10-17 18:30:44
2457,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:44
2458,car,,,2022-10-17 18:30:44
2461,person,,,2022-10-17 18:30:45
2462,car,,,2022-10-17 18:30:45
2463,car,,,2022-10-17 18:30:45
2465,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:45
2467,car,,,2022-10-17 18:30:45
2468,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:45
2469,car,,,2022-10-17 18:30:45
2470,motorcycle,,,2022-10-17 18:30:45
2471,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:47
2473,car,,,2022-10-17 18:30:47
2474,motorcycle,,,2022-10-17 18:30:47
2476,car,,,2022-10-17 18:30:48
2477,bicycle,,,2022-10-17 18:30:48
2478,unclear,,,2022-10-17 18:30:49
2479,car,,,2022-10-17 18:30:49
2480,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:49
2481,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:49
2482,car,,,2022-10-17 18:30:49
2486,motorcycle,,,2022-10-17 18:30:52
2487,car,,,2022-10-17 18:30:52
2489,car,,,2022-10-17 18:30:53
2493,motorcycle,,,2022-10-17 18:30:54
2494,motorcycle,,,2022-10-17 18:30:56
2495,person,,,2022-10-17 18:30:56
2496,car,,,2022-10-17 18:30:56
2497,person,,,2022-10-17 18:30:57
2498,car,,,2022-10-17 18:30:57
2499,person,,,2022-10-17 18:30:57
2500,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:30:58
2502,person,,,2022-10-17 18:30:58
2503,person,,,2022-10-17 18:30:58
2505,motorcycle,,,2022-10-17 18:30:59
2507,person,,,2022-10-17 18:31:00
2508,person,"['Haltelinie', 'FG1']",,2022-10-17 18:31:02
2510,person,,,2022-10-17 18:31:02
2511,car,,,2022-10-17 18:31:02
2514,person,,,2022-10-17 18:31:06
2516,person,,,2022-10-17 18:31:08
2517,unclear,,,2022-10-17 18:31:09
2519,person,,,2022-10-17 18:31:09
2520,person,,,2022-10-17 18:31:10
2521,bicycle,,,2022-10-17 18:31:10
2522,person,,,2022-10-17 18:31:11
2524,person,,,2022-10-17 18:31:12
2525,person,,,2022-10-17 18:31:12
2526,person,['Querschnitt_Straße'],,2022-10-17 18:31:12
2527,person,['Querschnitt_Straße'],,2022-10-17 18:31:12
2528,car,,,2022-10-17 18:31:12
2532,unclear,,,2022-10-17 18:31:13
2534,person,,,2022-10-17 18:31:13
2535,unclear,,,2022-10-17 18:31:13
2536,person,"['FG1', 'Querschnitt_Straße']",,2022-10-17 18:31:14
2538,person,,,2022-10-17 18:31:15
2539,person,,,2022-10-17 18:31:15
2540,unclear,,,2022-10-17 18:31:17
2541,bicycle,,,2022-10-17 18:31:17
2542,person,,,2022-10-17 18:31:19
2544,person,['Haltelinie'],,2022-10-17 18:31:19
2545,unclear,,,2022-10-17 18:31:19
2546,person,,,2022-10-17 18:31:19
2547,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:31:20
2548,person,,,2022-10-17 18:31:20
2549,person,,,2022-10-17 18:31:20
2550,motorcycle,,,2022-10-17 18:31:20
2551,bicycle,"['FG1', 'FG2']",,2022-10-17 18:31:20
2553,person,['FG2'],,2022-10-17 18:31:22
2554,person,,,2022-10-17 18:31:22
2555,person,,,2022-10-17 18:31:22
2556,bicycle,,,2022-10-17 18:31:22
2557,person,,,2022-10-17 18:31:23
2558,person,,,2022-10-17 18:31:23
2560,car,,,2022-10-17 18:31:23
2562,person,,,2022-10-17 18:31:24
2564,person,['FG2'],,2022-10-17 18:31:24
2565,person,,,2022-10-17 18:31:25
2566,person,,,2022-10-17 18:31:25
2568,person,['FG2'],,2022-10-17 18:31:25
2569,person,,,2022-10-17 18:31:25
2570,person,['FG1'],,2022-10-17 18:31:25
2571,person,,,2022-10-17 18:31:26
2572,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:31:26
2573,person,,,2022-10-17 18:31:26
2574,person,,,2022-10-17 18:31:26
2577,car,,,2022-10-17 18:31:26
2579,person,"['Haltelinie', 'FG1']",,2022-10-17 18:31:27
2580,person,,,2022-10-17 18:31:27
2583,bicycle,,,2022-10-17 18:31:27
2584,car,,,2022-10-17 18:31:28
2585,person,,,2022-10-17 18:31:28
2587,bicycle,,,2022-10-17 18:31:28
2590,bicycle,,,2022-10-17 18:31:29
2591,car,,,2022-10-17 18:31:29
2596,person,,,2022-10-17 18:31:30
2598,person,,,2022-10-17 18:31:30
2599,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:31:30
2600,unclear,,,2022-10-17 18:31:30
2601,unclear,,,2022-10-17 18:31:31
2602,person,,,2022-10-17 18:31:31
2603,unclear,,,2022-10-17 18:31:31
2604,person,['FG1'],,2022-10-17 18:31:31
2605,unclear,,,2022-10-17 18:31:32
2606,unclear,,,2022-10-17 18:31:32
