,Class,Crossed_Section,Movement,Appearance
10079,person,,,2022-09-20 08:30:00
10080,person,,,2022-09-20 08:30:00
10131,person,,,2022-09-20 08:30:00
10164,person,,,2022-09-20 08:30:00
10165,person,,,2022-09-20 08:30:04
10166,person,,,2022-09-20 08:30:04
10167,car,"['Nord', 'Sued']",,2022-09-20 08:30:08
10169,person,,,2022-09-20 08:30:09
10171,car,,,2022-09-20 08:30:11
10172,person,,,2022-09-20 08:30:11
10173,car,,,2022-09-20 08:30:13
10174,car,,,2022-09-20 08:30:14
10175,bicycle,['Nord'],,2022-09-20 08:30:18
10176,person,"['Nord', 'Sued']",,2022-09-20 08:30:18
10177,bicycle,,,2022-09-20 08:30:18
10179,person,,,2022-09-20 08:30:19
10182,bicycle,,,2022-09-20 08:30:20
10183,truck,,,2022-09-20 08:30:20
10185,person,,,2022-09-20 08:30:21
10187,bicycle,,,2022-09-20 08:30:22
10189,person,,,2022-09-20 08:30:22
10190,person,,,2022-09-20 08:30:24
10191,person,,,2022-09-20 08:30:24
10192,person,,,2022-09-20 08:30:25
10193,person,,,2022-09-20 08:30:28
10194,person,,,2022-09-20 08:30:29
10195,bicycle,,,2022-09-20 08:30:29
10196,person,,,2022-09-20 08:30:30
10197,person,,,2022-09-20 08:30:30
10198,person,,,2022-09-20 08:30:30
10200,bicycle,,,2022-09-20 08:30:31
10202,person,,,2022-09-20 08:30:31
10203,person,"['Nord', 'Sued']",,2022-09-20 08:30:31
10204,bicycle,,,2022-09-20 08:30:34
10205,person,,,2022-09-20 08:30:34
10206,person,,,2022-09-20 08:30:35
10208,unclear,,,2022-09-20 08:30:35
10211,person,,,2022-09-20 08:30:35
10212,truck,,,2022-09-20 08:30:38
10213,person,,,2022-09-20 08:30:39
10215,person,,,2022-09-20 08:30:41
10218,person,,,2022-09-20 08:30:45
10219,person,,,2022-09-20 08:30:47
10220,person,,,2022-09-20 08:30:51
10221,car,,,2022-09-20 08:30:52
10222,person,,,2022-09-20 08:30:58
10223,person,,,2022-09-20 08:30:58
10225,person,,,2022-09-20 08:30:59
10226,unclear,,,2022-09-20 08:30:59
10227,person,,,2022-09-20 08:31:00
10228,person,,,2022-09-20 08:31:01
10229,unclear,,,2022-09-20 08:31:01
10230,unclear,,,2022-09-20 08:31:03
10233,person,,,2022-09-20 08:31:05
10234,person,,,2022-09-20 08:31:05
10235,unclear,,,2022-09-20 08:31:06
10239,unclear,,,2022-09-20 08:31:18
10241,bus,,,2022-09-20 08:31:18
10245,unclear,,,2022-09-20 08:31:22
10246,unclear,,,2022-09-20 08:31:22
10247,bus,,,2022-09-20 08:31:22
10248,bus,,,2022-09-20 08:31:24
10250,bicycle,"['Nord', 'Sued']",,2022-09-20 08:31:32
10251,person,"['Nord', 'Sued']",,2022-09-20 08:31:32
10255,unclear,,,2022-09-20 08:31:33
10256,bicycle,"['Nord', 'Sued']",,2022-09-20 08:31:33
10257,bicycle,"['Nord', 'Sued']",,2022-09-20 08:31:33
10258,person,"['Nord', 'Sued']",,2022-09-20 08:31:33
10259,bicycle,,,2022-09-20 08:31:34
10260,person,"['Nord', 'Sued']",,2022-09-20 08:31:34
10262,person,['Nord'],,2022-09-20 08:31:34
10263,person,,,2022-09-20 08:31:34
10265,unclear,,,2022-09-20 08:31:34
10267,unclear,,,2022-09-20 08:31:34
10268,bicycle,,,2022-09-20 08:31:34
10271,person,,,2022-09-20 08:31:35
10272,bicycle,,,2022-09-20 08:31:35
10276,person,"['Nord', 'Sued']",,2022-09-20 08:31:36
10277,bicycle,"['Nord', 'Sued']",,2022-09-20 08:31:36
10278,bicycle,,,2022-09-20 08:31:36
10279,unclear,,,2022-09-20 08:31:36
10281,bicycle,,,2022-09-20 08:31:36
10285,car,,,2022-09-20 08:31:36
10287,bicycle,['Sued'],,2022-09-20 08:31:37
10289,unclear,,,2022-09-20 08:31:37
10291,person,,,2022-09-20 08:31:37
10294,bicycle,,,2022-09-20 08:31:38
10295,bicycle,"['Nord', 'Sued']",,2022-09-20 08:31:38
10297,person,['Nord'],,2022-09-20 08:31:38
10298,bicycle,,,2022-09-20 08:31:39
10300,person,['Nord'],,2022-09-20 08:31:39
10303,person,,,2022-09-20 08:31:39
10304,bicycle,,,2022-09-20 08:31:39
10305,person,,,2022-09-20 08:31:39
10307,unclear,,,2022-09-20 08:31:39
10310,bicycle,,,2022-09-20 08:31:39
10311,bicycle,,,2022-09-20 08:31:39
10313,bicycle,,,2022-09-20 08:31:39
10314,bicycle,,,2022-09-20 08:31:39
10317,person,,,2022-09-20 08:31:40
10318,person,,,2022-09-20 08:31:40
10319,person,,,2022-09-20 08:31:40
10320,bicycle,,,2022-09-20 08:31:40
10321,bicycle,,,2022-09-20 08:31:40
10323,motorcycle,,,2022-09-20 08:31:40
10324,person,,,2022-09-20 08:31:40
10325,person,,,2022-09-20 08:31:40
10327,bicycle,,,2022-09-20 08:31:41
10328,person,['Nord'],,2022-09-20 08:31:41
10329,bicycle,['Sued'],,2022-09-20 08:31:41
10332,bicycle,,,2022-09-20 08:31:42
10333,person,,,2022-09-20 08:31:42
10334,unclear,,,2022-09-20 08:31:43
10336,bicycle,"['Nord', 'Sued']",,2022-09-20 08:31:45
10337,person,"['Nord', 'Sued']",,2022-09-20 08:31:45
10338,motorcycle,,,2022-09-20 08:31:45
10344,bicycle,,,2022-09-20 08:31:46
10345,person,,,2022-09-20 08:31:47
10346,unclear,,,2022-09-20 08:31:48
10347,person,,,2022-09-20 08:31:49
10348,bicycle,,,2022-09-20 08:31:50
10349,person,,,2022-09-20 08:31:51
10350,bicycle,,,2022-09-20 08:31:51
10351,bicycle,,,2022-09-20 08:31:52
10352,unclear,,,2022-09-20 08:31:53
10353,unclear,,,2022-09-20 08:31:55
10354,unclear,,,2022-09-20 08:31:56
10357,unclear,,,2022-09-20 08:32:00
10358,person,,,2022-09-20 08:32:00
10359,person,['Nord'],,2022-09-20 08:32:01
10360,unclear,,,2022-09-20 08:32:01
10361,person,,,2022-09-20 08:32:02
10362,person,,,2022-09-20 08:32:02
10364,unclear,,,2022-09-20 08:32:02
10365,bicycle,"['Nord', 'Sued']",,2022-09-20 08:32:02
10366,unclear,,,2022-09-20 08:32:03
