Class;gt;eval;rp;fp;fn
bicycle;92.0;64.0;62.0;2.0;30.0
car;0.0;2.0;0.0;2.0;0.0
person;9.0;20.0;7.0;21.0;10.0
truck;1.0;0.0;0.0;0.0;1.0
