Class;gt;eval;rp;fp;fn
bicycle;12.0;9.0;6.0;3.0;6.0
bus;9.0;13.0;9.0;4.0;0.0
car;196.0;190.0;186.0;4.0;10.0
motorcycle;5.0;5.0;4.0;1.0;1.0
person;76.0;37.0;37.0;0.0;39.0
truck;3.0;13.0;3.0;10.0;0.0
