;Class;gt;eval;t_start;t_end
0;person;9.0;7.0;13:15:00;13:16:00
1;car;3.0;3.0;13:15:00;13:16:00
2;bicycle;1.0;0.0;13:15:00;13:16:00
3;car;14.0;13.0;13:16:00;13:17:00
4;person;9.0;10.0;13:16:00;13:17:00
5;motorcycle;2.0;3.0;13:16:00;13:17:00
6;truck;1.0;1.0;13:16:00;13:17:00
7;bus;1.0;1.0;13:16:00;13:17:00
8;car;11.0;10.0;13:17:00;13:18:00
9;person;11.0;12.0;13:17:00;13:18:00
10;bicycle;1.0;0.0;13:17:00;13:18:00
11;truck;0.0;1.0;13:17:00;13:18:00
12;car;12.0;13.0;13:18:00;13:19:00
13;person;5.0;5.0;13:18:00;13:19:00
14;car;21.0;20.0;13:19:00;13:20:00
15;person;4.0;6.0;13:19:00;13:20:00
16;bicycle;3.0;1.0;13:19:00;13:20:00
17;truck;0.0;1.0;13:19:00;13:20:00
18;car;17.0;12.0;13:20:00;13:21:00
19;person;10.0;16.0;13:20:00;13:21:00
20;bus;1.0;1.0;13:20:00;13:21:00
21;truck;0.0;1.0;13:20:00;13:21:00
22;car;7.0;8.0;13:21:00;13:22:00
23;person;6.0;5.0;13:21:00;13:22:00
24;bicycle;1.0;0.0;13:21:00;13:22:00
25;person;9.0;9.0;13:22:00;13:23:00
26;car;7.0;7.0;13:22:00;13:23:00
27;bicycle;1.0;1.0;13:22:00;13:23:00
28;car;22.0;22.0;13:23:00;13:24:00
29;person;2.0;4.0;13:23:00;13:24:00
30;bicycle;1.0;1.0;13:23:00;13:24:00
31;truck;0.0;2.0;13:23:00;13:24:00
32;person;12.0;9.0;13:24:00;13:25:00
33;car;10.0;9.0;13:24:00;13:25:00
34;motorcycle;1.0;1.0;13:24:00;13:25:00
35;bus;1.0;1.0;13:24:00;13:25:00
36;truck;0.0;1.0;13:24:00;13:25:00
37;car;17.0;17.0;13:25:00;13:26:00
38;person;6.0;11.0;13:25:00;13:26:00
39;bus;1.0;1.0;13:25:00;13:26:00
40;bicycle;1.0;1.0;13:25:00;13:26:00
41;car;15.0;13.0;13:26:00;13:27:00
42;person;6.0;8.0;13:26:00;13:27:00
43;bicycle;3.0;0.0;13:26:00;13:27:00
44;motorcycle;1.0;0.0;13:26:00;13:27:00
45;truck;1.0;2.0;13:26:00;13:27:00
46;bus;1.0;2.0;13:26:00;13:27:00
47;person;14.0;13.0;13:27:00;13:28:00
48;car;14.0;12.0;13:27:00;13:28:00
49;bus;3.0;3.0;13:27:00;13:28:00
50;person;9.0;9.0;13:28:00;13:29:00
51;car;8.0;8.0;13:28:00;13:29:00
52;bus;1.0;1.0;13:28:00;13:29:00
53;car;20.0;17.0;13:29:00;13:30:00
54;person;8.0;9.0;13:29:00;13:30:00
55;truck;1.0;1.0;13:29:00;13:30:00
56;bus;0.0;1.0;13:29:00;13:30:00
