;Class;gt;eval;t_start;t_end
0;person;11.0;6.0;13:15:00;13:16:00
1;car;5.0;4.0;13:15:00;13:16:00
2;bicycle;1.0;2.0;13:15:00;13:16:00
3;motorcycle;1.0;1.0;13:15:00;13:16:00
4;car;12.0;13.0;13:16:00;13:17:00
5;person;6.0;7.0;13:16:00;13:17:00
6;motorcycle;2.0;1.0;13:16:00;13:17:00
7;truck;1.0;3.0;13:16:00;13:17:00
8;bus;1.0;1.0;13:16:00;13:17:00
9;bicycle;0.0;1.0;13:16:00;13:17:00
10;car;12.0;10.0;13:17:00;13:18:00
11;person;7.0;4.0;13:17:00;13:18:00
12;bicycle;2.0;1.0;13:17:00;13:18:00
13;truck;0.0;1.0;13:17:00;13:18:00
14;car;12.0;13.0;13:18:00;13:19:00
15;person;7.0;2.0;13:18:00;13:19:00
16;car;21.0;22.0;13:19:00;13:20:00
17;person;7.0;4.0;13:19:00;13:20:00
18;bicycle;1.0;0.0;13:19:00;13:20:00
19;truck;0.0;1.0;13:19:00;13:20:00
20;car;15.0;16.0;13:20:00;13:21:00
21;bus;1.0;1.0;13:20:00;13:21:00
22;bicycle;1.0;0.0;13:20:00;13:21:00
23;truck;0.0;1.0;13:20:00;13:21:00
24;car;8.0;9.0;13:21:00;13:22:00
25;person;5.0;2.0;13:21:00;13:22:00
26;person;7.0;6.0;13:22:00;13:23:00
27;car;6.0;5.0;13:22:00;13:23:00
28;bicycle;1.0;1.0;13:22:00;13:23:00
29;car;22.0;22.0;13:23:00;13:24:00
30;person;2.0;2.0;13:23:00;13:24:00
31;bicycle;1.0;2.0;13:23:00;13:24:00
32;truck;0.0;3.0;13:23:00;13:24:00
33;car;10.0;9.0;13:24:00;13:25:00
34;person;2.0;2.0;13:24:00;13:25:00
35;motorcycle;1.0;2.0;13:24:00;13:25:00
36;bus;1.0;1.0;13:24:00;13:25:00
37;bicycle;1.0;0.0;13:24:00;13:25:00
38;truck;0.0;1.0;13:24:00;13:25:00
39;car;16.0;16.0;13:25:00;13:26:00
40;person;2.0;0.0;13:25:00;13:26:00
41;bus;1.0;1.0;13:25:00;13:26:00
42;bicycle;0.0;1.0;13:25:00;13:26:00
43;car;15.0;13.0;13:26:00;13:27:00
44;person;6.0;3.0;13:26:00;13:27:00
45;bicycle;1.0;1.0;13:26:00;13:27:00
46;motorcycle;1.0;1.0;13:26:00;13:27:00
47;truck;1.0;1.0;13:26:00;13:27:00
48;bus;1.0;3.0;13:26:00;13:27:00
49;car;13.0;12.0;13:27:00;13:28:00
50;person;3.0;2.0;13:27:00;13:28:00
51;bus;3.0;4.0;13:27:00;13:28:00
52;car;8.0;9.0;13:28:00;13:29:00
53;person;4.0;2.0;13:28:00;13:29:00
54;bus;1.0;1.0;13:28:00;13:29:00
55;bicycle;1.0;0.0;13:28:00;13:29:00
56;car;21.0;17.0;13:29:00;13:30:00
57;person;7.0;5.0;13:29:00;13:30:00
58;bicycle;2.0;0.0;13:29:00;13:30:00
59;truck;1.0;2.0;13:29:00;13:30:00
60;bus;0.0;1.0;13:29:00;13:30:00
