EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
617,FG2,308,219,403,14897,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:24
618,FG1,308,592,235,15237,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:41
619,FG2,309,242,426,14905,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:25
620,FG1,309,603,241,15231,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:41
621,FG2,310,187,373,14906,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:25
622,FG1,310,606,242,15122,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:36
623,Querschnitt_Straße,311,784,340,15099,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:34
624,FG1,311,791,319,15134,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:36
625,Haltelinie,312,492,217,14959,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:27
626,FG2,312,201,387,15117,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:35
627,Haltelinie,313,508,210,15266,Fahrrad ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:43
628,FG1,313,566,226,15297,Fahrrad ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:44
629,FG1,314,771,309,15309,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:45
630,Querschnitt_Straße,314,746,364,15870,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:43:13
631,FG1,315,704,283,15645,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:43:02
632,Querschnitt_Straße,315,737,373,15720,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:43:06
633,FG1,317,797,320,15453,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:52
634,Querschnitt_Straße,317,781,341,15863,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:43:13
635,FG1,316,782,312,15473,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:42:53
