;Class;gt;eval;t_start;t_end
0;bicycle;3;0.0;08:00:00;08:01:00
1;bicycle;9;0.0;08:01:00;08:02:00
2;person;1;0.0;08:01:00;08:02:00
3;bicycle;2;0.0;08:02:00;08:03:00
4;person;1;0.0;08:02:00;08:03:00
5;bicycle;4;0.0;08:03:00;08:04:00
6;person;1;0.0;08:03:00;08:04:00
7;bicycle;4;0.0;08:04:00;08:05:00
8;bicycle;7;0.0;08:05:00;08:06:00
9;person;2;0.0;08:05:00;08:06:00
10;bicycle;2;0.0;08:06:00;08:07:00
11;bicycle;7;0.0;08:07:00;08:08:00
12;person;3;0.0;08:07:00;08:08:00
13;bicycle;2;0.0;08:08:00;08:09:00
14;bicycle;8;0.0;08:09:00;08:10:00
15;person;1;0.0;08:09:00;08:10:00
16;bicycle;3;0.0;08:10:00;08:11:00
17;bicycle;2;0.0;08:11:00;08:12:00
18;person;1;0.0;08:11:00;08:12:00
19;bicycle;4;0.0;08:12:00;08:13:00
20;person;2;0.0;08:12:00;08:13:00
21;bicycle;3;0.0;08:13:00;08:14:00
22;person;1;0.0;08:13:00;08:14:00
23;bicycle;7;0.0;08:14:00;08:15:00
24;person;1;0.0;08:14:00;08:15:00
