;Class;gt;eval;t_start;t_end
0;car;62.0;62;13:15:00;13:20:00
1;person;38.0;17;13:15:00;13:20:00
2;bicycle;4.0;4;13:15:00;13:20:00
3;motorcycle;3.0;2;13:15:00;13:20:00
4;truck;1.0;5;13:15:00;13:20:00
5;bus;1.0;1;13:15:00;13:20:00
6;car;61.0;61;13:20:00;13:25:00
7;person;16.0;7;13:20:00;13:25:00
8;bicycle;4.0;3;13:20:00;13:25:00
9;bus;2.0;2;13:20:00;13:25:00
10;motorcycle;1.0;2;13:20:00;13:25:00
11;truck;0.0;5;13:20:00;13:25:00
12;car;73.0;67;13:25:00;13:30:00
13;person;22.0;9;13:25:00;13:30:00
14;bus;6.0;10;13:25:00;13:30:00
15;bicycle;4.0;2;13:25:00;13:30:00
16;truck;2.0;3;13:25:00;13:30:00
17;motorcycle;1.0;1;13:25:00;13:30:00
