;Class;gt;eval;t_start;t_end
0;bicycle;10;9;08:30:00;08:32:30
1;car;1;1;08:30:00;08:32:30
2;person;1;-2;08:30:00;08:32:30
3;bicycle;11;6;08:32:30;08:35:00
4;person;1;5;08:32:30;08:35:00
5;bicycle;12;9;08:35:00;08:37:30
6;person;3;1;08:35:00;08:37:30
7;bicycle;20;16;08:37:30;08:40:00
8;person;4;5;08:37:30;08:40:00
9;bicycle;11;7;08:40:00;08:42:30
10;person;2;2;08:40:00;08:42:30
11;person;12;12;08:42:30;08:45:00
12;bicycle;9;8;08:42:30;08:45:00
