Class;gt;eval;rp;fp;fn
bicycle;8.0;0.0;0.0;0.0;8.0
bus;6.0;3.0;2.0;1.0;4.0
car;157.0;155.0;146.0;9.0;11.0
motorcycle;2.0;1.0;1.0;0.0;1.0
person;66.0;78.0;48.0;30.0;18.0
truck;3.0;2.0;1.0;1.0;2.0
