Class;gt;eval;rp;fp;fn
bicycle;10;3.0;3.0;0.0;7.0
bus;9;9.0;8.0;1.0;1.0
car;190;181.0;176.0;5.0;14.0
motorcycle;4;4.0;3.0;1.0;1.0
person;105;121.0;96.0;25.0;9.0
truck;5;4.0;3.0;1.0;2.0
