Class;gt;eval;rp;fp;fn
bicycle;10;4.0;4.0;0.0;6.0
bus;9;10.0;9.0;1.0;0.0
car;190;184.0;182.0;2.0;8.0
motorcycle;4;4.0;3.0;1.0;1.0
person;105;133.0;101.0;32.0;4.0
truck;5;3.0;3.0;0.0;2.0
