;Class;gt;eval;t_start;t_end
0;car;1.0;1.0;08:30:00;08:31:00
1;bicycle;1.0;0.0;08:30:00;08:31:00
2;person;1.0;2.0;08:30:00;08:31:00
3;bicycle;8.0;8.0;08:31:00;08:32:00
4;person;0.0;5.0;08:31:00;08:32:00
5;bicycle;1.0;1.0;08:32:00;08:33:00
6;bicycle;10.0;6.0;08:33:00;08:34:00
7;person;0.0;9.0;08:33:00;08:34:00
8;bicycle;1.0;0.0;08:34:00;08:35:00
9;person;1.0;2.0;08:34:00;08:35:00
10;bicycle;5.0;3.0;08:35:00;08:36:00
11;person;0.0;2.0;08:35:00;08:36:00
12;person;3.0;3.0;08:36:00;08:37:00
13;bicycle;2.0;2.0;08:36:00;08:37:00
14;bicycle;9.0;7.0;08:37:00;08:38:00
15;person;4.0;12.0;08:37:00;08:38:00
16;bicycle;10.0;9.0;08:38:00;08:39:00
17;person;0.0;8.0;08:38:00;08:39:00
18;bicycle;6.0;4.0;08:39:00;08:40:00
19;person;0.0;6.0;08:39:00;08:40:00
20;bicycle;7.0;4.0;08:40:00;08:41:00
21;person;0.0;6.0;08:40:00;08:41:00
22;person;2.0;2.0;08:41:00;08:42:00
23;bicycle;2.0;2.0;08:41:00;08:42:00
24;bicycle;5.0;3.0;08:42:00;08:43:00
25;person;1.0;6.0;08:42:00;08:43:00
26;person;7.0;6.0;08:43:00;08:44:00
27;bicycle;6.0;6.0;08:44:00;08:45:00
28;person;4.0;9.0;08:44:00;08:45:00
