;Class;gt;eval;t_start;t_end
0;car;1.0;1;08:30:00;08:31:00
1;bicycle;1.0;1;08:30:00;08:31:00
2;person;0.0;1;08:30:00;08:31:00
3;bicycle;8.0;6;08:31:00;08:32:00
4;person;1.0;10;08:31:00;08:32:00
5;bicycle;1.0;1;08:32:00;08:33:00
6;person;0.0;1;08:32:00;08:33:00
7;bicycle;10.0;9;08:33:00;08:34:00
8;person;0.0;10;08:33:00;08:34:00
9;person;1.0;2;08:34:00;08:35:00
10;bicycle;1.0;1;08:34:00;08:35:00
11;bicycle;4.0;5;08:35:00;08:36:00
12;person;0.0;4;08:35:00;08:36:00
13;person;3.0;5;08:36:00;08:37:00
14;bicycle;2.0;2;08:36:00;08:37:00
15;bicycle;8.0;9;08:37:00;08:38:00
16;person;5.0;15;08:37:00;08:38:00
17;bicycle;9.0;9;08:38:00;08:39:00
18;person;0.0;8;08:38:00;08:39:00
19;motorcycle;0.0;1;08:38:00;08:39:00
20;bicycle;6.0;5;08:39:00;08:40:00
21;person;0.0;7;08:39:00;08:40:00
22;bicycle;7.0;4;08:40:00;08:41:00
23;person;1.0;9;08:40:00;08:41:00
24;person;1.0;2;08:41:00;08:42:00
25;bicycle;1.0;2;08:41:00;08:42:00
26;bicycle;5.0;4;08:42:00;08:43:00
27;person;1.0;5;08:42:00;08:43:00
28;person;7.0;7;08:43:00;08:44:00
29;bicycle;7.0;7;08:44:00;08:45:00
30;person;4.0;11;08:44:00;08:45:00
31;motorcycle;0.0;1;08:44:00;08:45:00
