;Class;gt;eval;t_start;t_end
0;bicycle;22.0;16;08:00:00;08:05:00
1;person;3.0;2;08:00:00;08:05:00
2;bicycle;26.0;20;08:05:00;08:10:00
3;person;6.0;7;08:05:00;08:10:00
4;motorcycle;0.0;1;08:05:00;08:10:00
5;car;0.0;1;08:05:00;08:10:00
6;bicycle;19.0;15;08:10:00;08:15:00
7;person;5.0;6;08:10:00;08:15:00
