Class;gt;eval;rp;fp;fn
bicycle;12.0;9.0;5.0;4.0;7.0
bus;9.0;13.0;9.0;4.0;0.0
car;196.0;190.0;185.0;5.0;11.0
motorcycle;5.0;5.0;4.0;1.0;1.0
person;76.0;38.0;38.0;0.0;38.0
truck;3.0;13.0;3.0;10.0;0.0
