Class;gt;eval;rp;fp;fn
bicycle;10.0;4.0;3.0;1.0;7.0
bus;9.0;11.0;1.0;10.0;8.0
car;190.0;184.0;160.0;24.0;30.0
motorcycle;4.0;4.0;3.0;1.0;1.0
person;105.0;133.0;62.0;71.0;43.0
truck;5.0;10.0;2.0;8.0;3.0
