;Class;gt;eval;t_start;t_end
0;car;50.0;50.0;18:30:00;18:35:00
1;person;18.0;13.0;18:30:00;18:35:00
2;bicycle;2.0;0.0;18:30:00;18:35:00
3;bus;2.0;2.0;18:30:00;18:35:00
4;motorcycle;0.0;1.0;18:30:00;18:35:00
5;car;65.0;64.0;18:35:00;18:40:00
6;person;13.0;11.0;18:35:00;18:40:00
7;truck;3.0;4.0;18:35:00;18:40:00
8;bicycle;3.0;0.0;18:35:00;18:40:00
9;motorcycle;2.0;2.0;18:35:00;18:40:00
10;bus;1.0;1.0;18:35:00;18:40:00
11;car;41.0;41.0;18:40:00;18:45:00
12;person;10.0;8.0;18:40:00;18:45:00
13;bus;3.0;3.0;18:40:00;18:45:00
14;bicycle;2.0;0.0;18:40:00;18:45:00
