;Class;gt;eval;t_start;t_end
0;car;61.0;59.0;13:15:00;13:20:00
1;person;38.0;36.0;13:15:00;13:20:00
2;bicycle;5.0;1.0;13:15:00;13:20:00
3;motorcycle;2.0;3.0;13:15:00;13:20:00
4;truck;1.0;3.0;13:15:00;13:20:00
5;bus;1.0;1.0;13:15:00;13:20:00
6;car;63.0;58.0;13:20:00;13:25:00
7;person;39.0;40.0;13:20:00;13:25:00
8;bicycle;3.0;2.0;13:20:00;13:25:00
9;bus;2.0;2.0;13:20:00;13:25:00
10;motorcycle;1.0;1.0;13:20:00;13:25:00
11;truck;0.0;4.0;13:20:00;13:25:00
12;car;74.0;67.0;13:25:00;13:30:00
13;person;43.0;49.0;13:25:00;13:30:00
14;bus;6.0;8.0;13:25:00;13:30:00
15;bicycle;4.0;1.0;13:25:00;13:30:00
16;truck;2.0;3.0;13:25:00;13:30:00
17;motorcycle;1.0;0.0;13:25:00;13:30:00
