Class;gt;eval;rp;fp;fn
bicycle;92.0;64.0;60.0;4.0;32.0
car;0.0;2.0;0.0;2.0;0.0
person;9.0;22.0;7.0;28.0;15.0
truck;1.0;0.0;0.0;0.0;1.0
