Class;gt;eval;rp;fp;fn
bicycle;6;0.0;0.0;0.0;6.0
bus;6;6.0;6.0;0.0;0.0
car;157;155.0;155.0;0.0;2.0
motorcycle;2;3.0;2.0;1.0;0.0
person;39;35.0;35.0;0.0;4.0
truck;3;4.0;3.0;1.0;0.0
