Class;gt;eval;rp;fp;fn
bicycle;6;5.0;5.0;0;1.0
bus;8;8.0;8.0;0;0.0
car;175;176.0;175.0;1;0.0
motorcycle;4;4.0;4.0;0;0.0
person;68;57.0;57.0;0;11.0
