;Class;gt;eval;t_start;t_end
0;person;24;18.0;13:15:00;13:17:30
1;car;18;16.0;13:15:00;13:17:30
2;bicycle;2;1.0;13:15:00;13:17:30
3;motorcycle;2;2.0;13:15:00;13:17:30
4;truck;1;1.0;13:15:00;13:17:30
5;bus;1;1.0;13:15:00;13:17:30
6;car;43;43.0;13:17:30;13:20:00
7;person;14;13.0;13:17:30;13:20:00
8;bicycle;3;3.0;13:17:30;13:20:00
9;car;26;25.0;13:20:00;13:22:30
10;person;19;17.0;13:20:00;13:22:30
11;bicycle;2;2.0;13:20:00;13:22:30
12;bus;1;1.0;13:20:00;13:22:30
13;car;37;37.0;13:22:30;13:25:00
14;person;20;20.0;13:22:30;13:25:00
15;bicycle;1;1.0;13:22:30;13:25:00
16;motorcycle;1;1.0;13:22:30;13:25:00
17;bus;1;1.0;13:22:30;13:25:00
18;car;34;32.0;13:25:00;13:27:30
19;person;25;27.0;13:25:00;13:27:30
20;bicycle;4;4.0;13:25:00;13:27:30
21;bus;2;2.0;13:25:00;13:27:30
22;motorcycle;1;1.0;13:25:00;13:27:30
23;truck;1;1.0;13:25:00;13:27:30
24;car;40;40.0;13:27:30;13:30:00
25;person;18;17.0;13:27:30;13:30:00
26;bus;4;4.0;13:27:30;13:30:00
27;truck;1;0.0;13:27:30;13:30:00
