;Class;gt;eval;t_start;t_end
0;person;37.0;31.0;13:15:00;13:16:00
1;person;18.0;17.0;13:16:00;13:17:00
2;person;10.0;12.0;13:17:00;13:18:00
3;bicycle;1.0;2.0;13:17:00;13:18:00
4;person;16.0;18.0;13:18:00;13:19:00
5;person;4.0;8.0;13:19:00;13:20:00
6;bicycle;3.0;4.0;13:19:00;13:20:00
7;person;9.0;10.0;13:20:00;13:21:00
8;bicycle;0.0;1.0;13:20:00;13:21:00
9;person;8.0;8.0;13:21:00;13:22:00
10;bicycle;0.0;1.0;13:21:00;13:22:00
11;person;18.0;26.0;13:22:00;13:23:00
12;person;8.0;10.0;13:23:00;13:24:00
13;person;15.0;17.0;13:24:00;13:25:00
14;motorcycle;1.0;0.0;13:24:00;13:25:00
15;bicycle;0.0;1.0;13:24:00;13:25:00
16;person;6.0;8.0;13:25:00;13:26:00
17;bicycle;1.0;1.0;13:25:00;13:26:00
18;person;22.0;23.0;13:26:00;13:27:00
19;bicycle;2.0;2.0;13:26:00;13:27:00
20;person;14.0;15.0;13:27:00;13:28:00
21;person;18.0;16.0;13:28:00;13:29:00
22;person;11.0;14.0;13:29:00;13:30:00
23;bicycle;1.0;0.0;13:29:00;13:30:00
