;Class;gt;eval;t_start;t_end
0;person;11.0;16.0;13:15:00;13:16:00
1;car;5.0;2.0;13:15:00;13:16:00
2;bicycle;1.0;1.0;13:15:00;13:16:00
3;motorcycle;1.0;1.0;13:15:00;13:16:00
4;car;12.0;13.0;13:16:00;13:17:00
5;person;6.0;8.0;13:16:00;13:17:00
6;motorcycle;2.0;2.0;13:16:00;13:17:00
7;truck;1.0;1.0;13:16:00;13:17:00
8;bus;1.0;1.0;13:16:00;13:17:00
9;car;12.0;11.0;13:17:00;13:18:00
10;person;6.0;7.0;13:17:00;13:18:00
11;bicycle;1.0;2.0;13:17:00;13:18:00
12;car;12.0;13.0;13:18:00;13:19:00
13;person;4.0;7.0;13:18:00;13:19:00
14;car;21.0;21.0;13:19:00;13:20:00
15;person;3.0;7.0;13:19:00;13:20:00
16;bicycle;0.0;1.0;13:19:00;13:20:00
17;car;15.0;15.0;13:20:00;13:21:00
18;bus;1.0;1.0;13:20:00;13:21:00
19;bicycle;0.0;1.0;13:20:00;13:21:00
20;person;4.0;5.0;13:21:00;13:22:00
21;car;3.0;9.0;13:21:00;13:22:00
22;person;6.0;8.0;13:22:00;13:23:00
23;car;5.0;6.0;13:22:00;13:23:00
24;bicycle;1.0;1.0;13:22:00;13:23:00
25;truck;1.0;0.0;13:22:00;13:23:00
26;car;22.0;22.0;13:23:00;13:24:00
27;person;1.0;2.0;13:23:00;13:24:00
28;bicycle;1.0;1.0;13:23:00;13:24:00
29;car;9.0;10.0;13:24:00;13:25:00
30;person;1.0;2.0;13:24:00;13:25:00
31;motorcycle;1.0;1.0;13:24:00;13:25:00
32;bus;1.0;1.0;13:24:00;13:25:00
33;bicycle;1.0;1.0;13:24:00;13:25:00
34;car;16.0;16.0;13:25:00;13:26:00
35;person;2.0;2.0;13:25:00;13:26:00
36;bus;1.0;1.0;13:25:00;13:26:00
37;car;15.0;14.0;13:26:00;13:27:00
38;person;4.0;5.0;13:26:00;13:27:00
39;bicycle;1.0;1.0;13:26:00;13:27:00
40;motorcycle;1.0;1.0;13:26:00;13:27:00
41;truck;1.0;1.0;13:26:00;13:27:00
42;bus;1.0;1.0;13:26:00;13:27:00
43;car;13.0;13.0;13:27:00;13:28:00
44;bus;3.0;3.0;13:27:00;13:28:00
45;person;2.0;3.0;13:27:00;13:28:00
46;car;8.0;8.0;13:28:00;13:29:00
47;person;4.0;5.0;13:28:00;13:29:00
48;bus;1.0;1.0;13:28:00;13:29:00
49;bicycle;1.0;1.0;13:28:00;13:29:00
50;car;20.0;20.0;13:29:00;13:30:00
51;person;4.0;8.0;13:29:00;13:30:00
52;bicycle;2.0;2.0;13:29:00;13:30:00
53;truck;2.0;0.0;13:29:00;13:30:00
