Class;gt;eval;rp;fp;fn
bicycle;12.0;4.0;3.0;1.0;9.0
bus;9.0;11.0;9.0;2.0;0.0
car;198.0;184.0;183.0;1.0;15.0
motorcycle;4.0;4.0;3.0;1.0;1.0
person;120.0;127.0;111.0;16.0;9.0
truck;3.0;10.0;2.0;8.0;1.0
